공간정보일련번호,공간정보,마리나항만명,행정구역명,전체주소,마리나항만종류명,소개설명,대중교통이용정보,차량이용정보,날씨설명,조류정보,보급수리내용
1,MULTIPOINT ((1097826.27275662 1657254.55330065)),사곡 마리나,경상남도 거제시,경상남도 거제시 사등면 사곡리 757-2번지 일원,레포츠형/기타연안/계획,"거제에 세일보트와 딩기요트가 처음 시작되었던 곳으로, 거제시 윈드서핑(요트)협회에서 위탁관리 중으로 부담금 감면 등 각종 인센티브 제공을 통해 해양스포츠 저변 확대가 가능하다. 통영 IC가 지근거리에 있고 거제시 진입초입부에 위치하고 있어 접근성이 좋다.",거제 고현시외버스터미널 → 일반버스(41번[고현-옥동]) → 거제시요트장하차,"▶ 신거제대교 이용시 : 신거제대교 → 10.88km 직진 → 거제시 요트장(모래실마을) 방향 우측방향 → 지하도 → 해수욕장▶ 거가대교 이용시 : 거가대교 → 송정터널 → 통영, 시청방면 우측방향 11.57km직진 → 사곡마을 방면 우측방향 → 해수욕장(거제시 요트장)",거제도는 온화한 해양성 기후로 겨울철 북서계절풍 시기에도 대한난류의 영향으로 따뜻하여 기온이 빙점 이하로 내려가는 날이 거의 없으며 여름철에는 남동계절풍 및 해륙풍의 발달로 비교적 시원한 편이다. 그러나 풍속은 강한 편이고 습도가 높아 비가 자주 내리는 지역으로 주로 6월~8월에 40% 정도가 집중된다. 거제도 북서부 지역은 봄철 안개가 심하다.,사두도 북측에서 창조류는 0.kn로 남쪽으로 흐르며 낙조류는 0.3kn로 북동쪽으로 흐른다. 복잡한 해안선의 영향으로 비교적 약한 편이다.,급유 : 일반 유류 취급소 이용급수 : 자체조달수리 : 각 항구 수리점 이용
2,MULTIPOINT ((874573.496825844 1598836.67228499)),팽목 마리나,전라남도 진도군,전라남도 진도군 임회면 남동리 산85-7번지 일원(팽목항 일원),레포츠형/연안항/계획,"현재 개발 중인 팽목 마리나는 풍속 및 풍향의 변화, 기온, 파랑 영향, 지형 및 토질 등의 조건이 양호하며, 서해안과 남해안을 구분 짓는 지점으로 지역 간 네트워크 거점 역할수행이 가능할 것으로 예상된다.개발규모는 총 100척(해상 50척, 육상 50척)으로 계획되어 있다.",진도공용터미널 → 농어촌 버스(팽목·서망[팽목·배]) → 팽목항 정류장 하차,경부고속도로(45.9km) → 서천공주고속도로(59.1km) → 서해안고속도로(148.3km) → 진도대로 → 진도항길,,,
3,MULTIPOINT ((1111498.99821839 1678189.25411907)),명동 마리나,경상남도 창원시,경상남도 창원시 진해구 명동 335번지 일원,레포츠형/무역항/계획,"평균조차가 적고 해양성기후로 온화하며 안개일수가 적어 레저선박 활동에 유리하다.또한 진해 해양관광단지 조성 사업으로 인한 복합적인 관광개발이 가능하다.개발규모는 50척(해상: 40척, 육상: 10척) 정도로 예정되어 있다.",▶ 창원종합버스터미널 → 일반버스(151번) → 일반버스(303번)→ 해양공원입구 정류장 하차▶ 마산종합버스터미널 → 일반버스(163번) → 일반버스(303번)→ 해양공원입구 정류장 하차,중부내륙고속도로 → 삼호로 → 봉양로 → 진해대로 → 명제로 → 명동로,,,
12,MULTIPOINT ((1099361.25695573 1675356.53784972)),구산 마리나,경상남도 마산시,경상남도 마산시 구산면 심리 산179-1 일원,레포츠형/기타연안/계획,"구산면 심리 일대는 해양성 기후로 기온이 온화하며 만내에 위치하여 파랑의 영향을 적게 받아 해양레저 활동에 적합하고 풍속 및 풍향의 변화, 지형 등의 조건이 양호하다.또한 구산 마리나는 구산해양관광단지 조성 계획 중의 한 관광 시설로써, 2015년 완공 예정인 마산로봇랜드와 연계개발로 인한 시너지 효과가 기대된다.",▶ 마산고속버스터미널 → 62번(일반버스) → 윗용호(용호마을회관)정류장 하차▶ 창원종합버스터미널 → 801번(좌석버스) → 62번(일반버스) - 아랫용호 정류장 하차,경부고속도로 → 영동고속도로 → 중부내륙고속도로 → 경남대로 → 쌀재터널 → 현동로 → 구산로,,,
4,MULTIPOINT ((1082637.06061804 1674053.59184183)),당항포 마리나,경상남도 고성군,경상남도 고성군 회화면 봉동리 183-5번지 일원,레포츠형 마리나,"따듯하고 비가 많이 오는 해양성 기후를 나타내며, 산림이 군의 80%를 차지하며, 레포츠형 마리나로 개발하고 있으며 개발규모는 100척(해상: 50척, 육상: 50척) 정도로 예정되어 있다.※ 현재 마리나 공사로 인하여 당항포지역의 낚시는 어려운 상황이다.",고성 여객 자동차 터미널 → 농어촌버스(배둔·구만·개천·고성공용터) → 상촌정류장 하차,송학고분로(0.4km) → 남해안대로(9.2km) → 회진로(4.1km),"당항포 마리나가 속한 고성군은 따듯하고 비가 많이 오는 해양성 기후가 나타나며, 연평균 강수량은 1,334mm로 다우지역에 속하므로 해당지역 방문시 기상에 주의 하여야 한다.",당항포 인근 해역은 유조선 통항금지해역으로 조류는 진해만에서 유입되며 동측해상에서 창조류와 낙조류가 0.6kn 0.9kn로 나타나고 유속은 느린 편이다.,급유 : 일반 유류 취급소 이용급수 : 자체조달수리 : 각 항구 선박수리점 이용
5,MULTIPOINT ((1023037.81634821 1639745.89103738)),여수엑스포 마리나,전라남도 여수시,전라남도 여수시 수정동 332 일원 (공사중),,"국가 거점형 마리나항만 개발사업 중 규모가 가장 큰 곳으로서 해양관광을 위한 해양스포츠 전진기지 조성계획을 추진하고 있다. 해양레저스포츠 체험 프로그램 확대 및 다양화, 요트 운항 및 이용 여건 개선 등이 기대되며 마리나와 인접한 여수엑스포와 오동도 등의 다양한 관광지를 즐길 수 있다.※ 2014년 10월 현재 설계 자문단계이고 예정 구역은 아직 구체적으로 정해지지 않았다.",여수 시외버스터미널 → 일반 버스(333번) → 여수세관건너 정류장 하차,남해고속도로 → 옥곡 IC → 옥곡톨게이트 → 강변로 → 마동IC → 이순신대로 → 상암로 → 둔덕IC → 엑스포대로 → 여수엑스포박람회 입구,"여수 마리나가 속한 여수는 한반도 남해안의 중앙에 위치하며 연평균기온이 14.3℃이고, 연평균 상대습도는 66%이나 겨울철 상대습도는 타 지역보다 5~6% 낮다. 연강수량은 1,439mm으로 다른 지역에 비하여 비가 많이 오는 다우지역이므로 낚시 전 기상을 확인 하여야 한다.","여수항 동방파제 부근에서 창조류 1.9kn, 낙조류 1.4kn로 나타나며 오동도 부근에서는 창조류 0.7kn, 낙조류 1.4kn로 나타난다.",급유 : 이동 주유 이용급수 : 계류장 내 수도 이용수리 : 선외기 종류의 소형 선박만 가능
6,MULTIPOINT ((1149386.72709593 1686176.59568083)),수영만 마리나,부산광역시 해운대구,부산광역시 해운대구 해운대 해변로 84,"무역, 연안항, 피셔리나/거점항","연평균 15℃의 온화한 기후와 천혜의 아름다운 자연경치를 자랑하고 있으며, 각종 국제경기대회를 개최한 곳으로서 450여대의 요ㆍ보트 계류 시설을 갖추고 있는 아시아권 최대 규모의요트경기장 이다.1988년 건설된 후 기존의 노후된 시설에서 ‘아시아 허브마리나 도약’을 테마로 6월경부터재개발 사업을 실시하여 해양레저 산업과 관광산업의 중요한 역할을 담당하게 된다.",부산지하철2호선 시립미술관역 또는 동백역 → 181버스 → 부산문화여고 정류장 하차,남해고속도로 종착점 → 제2만덕터널 진입 → 안락지하차도 진입 후 충렬대로 → 원동IC에서 광안대교 방면 → 수영만요트경기장,"연평균기온은 14.7℃, 연평균강수량은 1,519.1mm, 바람은 겨울철에는 북~북서계열, 그 외 계절에는 북~북동풍의 빈도가 높음. 봄에는 남남서와 북북동풍이 강하고, 여름에는 남서풍, 가을에는 북동충, 겨울에서는 북서풍이 강함.▶봄(3~5월) : 평년 평균기온 13.3℃, 강수량370.8mm, 평균풍속 3.9㎧이며, 남서풍이 불 때는 따뜻하나 북동풍이 불 때는 싸늘한 날씨를 보임.▶여름(6~8월) : 평년 평균기온 23.6℃, 강수량 778.6mm, 평균풍속 3.6㎧이며, 장마전선이나 발달한 저기압 통과시 국지적인 집중호우가 자주 발생함. 장마가 끝나면 남동계절풍으로 습도가 높고 무더운 날씨가 지속되며, 맑은 날 오후에는 해풍의 영향을 많이 받음.▶가을(9~11월) : 평년 평균기온17.2℃, 강수량 262.2mm, 평균풍속 3.4㎧이며, 태풍으로 인한 피해를 제외하고는 가을철 이동성 고기압의 영향을 주로 받으며 대체로 맑은 날이 많음. 가을이 되면서 일교차가 커짐.▶겨울(12~2월) : 평년 평균기온 4.7℃, 강수량 106.9mm, 평균풍속 3.7㎧이며, 찬 대륙고기압 확장 시 바람이 강하게 불고, 남해상을 지나는 기압골과 동풍의 영향으로 비나 눈이 내림.","일반적으로 해안선에 평행하게 흐르고 있으며, 광안대교 부근에서 서~동으로, 동~서로 흐르며, 유속은 0.2kn로 나타나고, 대체로 느린 편이다.",급유 : 이동 주유급유급수 : 계류장 내 수도이용수리 : 선외기 종류의 소형 선박만 가능
7,MULTIPOINT ((1085837.36916185 1648626.28433408)),충무 마리나,경상남도 통영시,경상남도 통영시 도남로 269-20(도남동 639),리조트형/무역항/기개발,"항내로 파랑의 영향을 적게 받고 해양성 기후로 온화한 지역이며 금호리조트에서 개발하여 체육시설로 관리 운영 중이고, 통영시에서 도남동 해양 마리나 조성 사업을 추진 중에 있으며 수상 레저 조종면허시험장 및 통영 요트클럽이 개설되어 운영 중이다.","통영종합버스터미널 → 일반 버스(101번, 141번, 121번, 104번, 105번) → 유람선터미널정류장에서 하차",남해고속도로 → 서마산IC → 마산 → 고성 → 북통영IC→ 금호충무마리나 리조트(약 2시간 소요),"통영지방은 남해안에 위치하여 바다와 접해 있으며, 온대해양성 기후지역으로 기온의 연교차 23.0℃로 한서의 차가 심하지 않음.연평균기온은 14.7℃, 연평균강수량은 1,450.8㎜. 봄(3∼5월) : 평년 평균기온 13.2℃, 강수량 391.5㎜, 평균풍속 2.7m/s이며, 안개로 인한 시정장애 현상이 많음.여름(6∼8월) : 평년 평균기온 23.8℃, 강수량 736.9㎜, 평균풍속 2.5m/s이며, 국지적인 집중호우가 자주 발생함.","가조도 북부로 안정항로와 가조도 동부에서 칠천도 북서부를 지나가는 통영항로 부근의 조류는 0.5kn~0.9kn정도로 빠르지 않은 편이며, 칠천도 동부의 칠천수도 부근에는 1.4kn~1.8kn정도의 창조류와 낙조류가 발생된다. 용초도는 섬을 따라가며 거의 완벽한 왕복성 조류의 특성을 나타낸다. 한산도와 용초도 사이의 장강 수도에서 최대 2.9kn의 창조류와 1.5kn의 낙조류가 형성된다.한산도는 육지쪽에 가깝게 있어 조류가 약한 편이다.",급유 : 일반 유류취급소 이용급수 : 자체조달수리 : 각 항구 선박수리점 이용
8,MULTIPOINT ((931460.953719182 1591729.62795075)),완도 마리나,전라남도 완도군,전라남도 완도군 완도읍 북방파제 704번지 일원,레포츠형/무역항/계획,"완도 마리나는 정온수역 확보가 유리한 완도항 내에 위치하여 개발여건이 양호하며, 국내 주요 해상 문화유산과 다도해해상국립공원이 있어 관광문화콘텐츠가 풍부하다. 또한 완도항 내 주도 부근에는 정부에서 운영 중인 완도항 요트 계류시설이 있어 사전에 요트 계류 신청을 한다면 이용이 가능하다.",완도 공용터미널 → 농어촌 버스(장용 → 완도[동고·대평·명사십리]) → 교보생명앞 정류장 하차,남해안고속도로 → 영암순천고속도로 → 장흥톨게이트 → 완도대교 → 완도터널 → 장보고대로,"한반도 남서단인 전남서부 남해안에 위치하여 비교적 저위도 지방이며, 연평균 강수량 1532.7mm, 연강수일수 110일로 다우지역에 속하며 우기인 7월의 월평균 강우량은 285.3mm인데 건기인 12월은 27.4mm로서 그 차는 258.3mm이며 12월의 강우량에 10.4배 이상에 달한다. 연평균기온은 14.1℃로써 높은편이고 월평균기온이 영하로 내려가는 일이 극히 드물다. 여름철 최고기온은 타지역보다 낮고 겨울철 최저기온은 높아 온화한 해양성기후이며, 바람은 연중 북~북서풍이 많고 연평균풍속은 36.㎧로 다소 강한 편이며 SE풍이 불 때는 취주거리가 길어져 파고가 높은 편이다.","조류의 회전방향은 완도를 중심으로 동쪽에서는 반시계방향, 완도 서쪽은 시계방향이 나타난다. 최대 창조류는 해안선을 따라 서쪽과 북쪽으로 흐르며, 낙조류는 그 반대이다. 완도 동쪽에서는 3.1kn로 크게 나타났으며, 대부분의 수로에서 1.9kn 정도이다. 완도 서쪽에서는 2.9kn이상 나타난다. 완도항 내에서 창조류는 북서방향으로 흐르며 낙조류는 남동방향으로 흐른다. 유속은 각각 1.5kn, 1.4km로 나타난다.",급유 : 일반 유튜취급소 이용급수 : 자체조달수리 : 완도항 수리점 이용
9,MULTIPOINT ((886269.890594185 1633460.05721957)),화원 마리나,전라남도 해남군,전라남도 해남군 화원면 주광리 74-2번지 일원,레포츠형/기타연안/계획,"해역 전면에 신안군 다도해가 위치하여 파랑에 대한 영향을 적게 받고 한국관광공사에서 해남 화원관광단지 조성사업을 추진 중에 있어 마리나 항만을 위한 배후 기반 시설 일부가 기 조성되어 있다.개발규모는 100척(해상: 50척, 육상: 50척) 정도로 예정되어 있다.",해남버스터미널 → 농어촌버스(해남-화원[남리·우수영·화원]) → 농어촌버스(화원-주광[화원·장수·주광]) → 파인비치골프장입구 정류장 하차,경부고속도로 → 서천공주고속도로 → 서해안고속도로 → 목포대교 → 고하대로 → 신항로 → 관광레저로 → 솔주광로,,,
10,MULTIPOINT ((1146717.37268271 1679026.43745351)),백운포 마리나,부산광역시 남구,부산광역시 남구 용호동 895-3번지 일원,레포츠형/무역항/계획,"조차의 영향이 적고 해양성 기후로 온화하며 도심권에 위치하여 접근성이 유리하고 넓은 배후부지 활용으로 육상 중심 보관 용도로 적합하며, 주변 관광지(오륙도, 씨사이드 관광지)와의 연계개발이 가능하며 관광 시너지 효과 발휘될 것으로 예상되며, 개발규모는 100척(해상: 50척, 육상: 50척) 정도로 예정되어 있다.","▶ 부산종합버스 터미널 → 지하철 1호선 노포역 → 3호선 연산역 → 20번(일반버스) → 백운포정류장▶ KTX 부산역 → 22번(초량), 27(부산역) → 백운포 정류장",경부고속도로 → 대구부산고속도로 → 중앙고속도로 - 모라고가교 → 백양터널 → 수정터널 → 제5부두사거리 → 우암고가로 → 신선로 → 백운포로,,,
11,MULTIPOINT ((1035792.66755753 1662436.44316043)),하동 마리나,경상남도 하동군,경상남도 하동군 금남면 대치리 1-1번지 일원,레포츠형/기타연안/계획,"해양성 기후로 온화하며, 외해로부터 남해 군도에 의해 차폐되어 파랑의 영향을 적게 받는 지역이다. 남해고속도로 하동 IC, 진교 IC와 가까운 거리에 있어 접근성이 좋으며, 한려해상 국립공원 내에 위치하고 있어 주변 관광여건이 양호하다.예정된 개발규모는 100척(해상 50척, 육상 50척)이다.","▶ 서울남부터미널, 동서울종합터미널 → 하동시외버스터미널▶ 부산서부시외버스터미널 → 하동시외버스터미널","남해고속도로 하동IC(10km) → 진교 IC(5km) → 국도 19호선, 지방도",,,
34,MULTIPOINT ((1127830.15848553 1975737.8811744)),강릉 마리나(강릉항 마리나),강원도 강릉시,강원도 강릉시 창해로14번길 51-20,국가어항/레포츠형,"동해 지역의 해양레저 및 요트활성화를 위해 2010년 완공된 요트마리나 시설로 국내에서는 첫번째로 해양민자사업으로 조성된 마리나 시설이다.깨끗한 환경과 먹을거리 및 볼거리가 있어서 관광객들이 많이 방문하며, 요트를  타볼 기회도 주어지기 때문에 휴가철 좋은 추억을 선사하기에 적합한 곳이다.특히 지상 6층규모의 클럽하우스는 항내와 안목해변의 전망을 감상할 수 있으며, 커피전문점 등의 편의시설을 갖추어 많은 관광객을 강릉항으로 이끄는 데 큰 역할을 하고 있다.","버스▶501, 300-1, 314-1",▶올림픽대로-광주원주고속도로-영동고속도로,"강릉지역은 동해바다에 접한 해안지역과 태백산맥에 접한 산간지역과의 중간에서 다양하고 복잡한 기후를 나타내어 행정구역상으로 강릉시에 속하더라도 산간이나 해안에 근접한 지역에서는 기후값에 있어 차이를 보일 수 있다.연평균기온은 13.1℃이며, 연평균 최고기온과 최저기온은 각각 17.5℃와 9.2℃이다. 같은 위도의 서해안보다 기후가 온난하고, 여름에는 태백산맥의 서쪽보다 시원하다.연평균 강수량은 1464.5mm이며, 월별로 살펴보면 강수량은 7~9월의 여름철에 집중되어있고, 12~2월의 겨울철에는 월평균 40~60mm 안팎으로 여름철과 비교하면 큰 차이를 나타낸다. 특히 8월에는 평균 298.9mm의 높은 강수량을 나타낸다.연평균 풍속은 강릉이 2.6㎧이며, 겨울철과 봄철에 강풍현상이 자주 있으며, 계절에 관계없이 북동 (NE)기류의 유입 시 날씨가 나빠지며 강수 현상을 나타내는 특징을 가진다.","강릉항에 인접한 묵호항에서의 평균해수면은 0.19m, 대조승은 0m, 평균고조간격은 2시간 57분이다.",급유 : 이동 주유 이용급수 : 자체조달수리 : 주문진 소재 선박수리점 이용
13,MULTIPOINT ((998245.296137285 1619969.80655745)),남열 마리나,전라남도 고흥군,전라남도 고흥군 영남면 남열리 212-3번지 일원,레포츠형/기타연안/계획,"전라남도의 항공우주테마파크 계획과 나로도 우주센터, 남열해수욕장을 연계한 관광 클러스트 조성이 가능하고, 고흥 우리해양리조트 특구와 연접하여 시너지효과가 탁월하다.여수~고흥간 연륙/연도교 개설과 서·남해안 일주 도로의 노선상에 위치하여 접근성 향상으로 집객 효과 탁월할 것으로 예상되며, 개발규모는 100척(해상: 50척, 육상: 50척) 정도로 예정되어 있다.※ 마리나 공사장 주변에서는 낚시를 할 수 없다.",고흥터미널 정류장에서 고흥~영남(송산·천학·금사·양사)승차 → 남열 정류장 하차,남해고속도로 → 고흥IC → 고흥로 → 우주항공로 → 과역로 → 쌍정자길 → 여도진로 → 팔영로 → 해맞이로 → 남열해수욕장,"해양성기후의 특성이 뚜렷해 난대성 식물이 많으며 연평균 기온 13.5℃, 1월 평균기온 1.2℃, 8월 평균기온 25.8℃, 연강수량 1,452.4mm이다.","소옥대도 남측으로 창조류, 낙조류가 각각 0.7kn로 나타나며, 마리나항 북동측의 낭도항 주변으로 창조류, 낙조류가 각각 0.9kn로 나타난다.",급유 : 일반 유류 취급소 이용급수 : 자체조달수리 : 각 항구 선박수리점 이용
